Format Version,1.1,Take Name,Take 2025-06-19 02.14.31 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-19 02.14.31.651 PM,Total Frames,34911,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
534,10.470588,-0.644806,1.195258,0.841577
535,10.490196,-0.644829,1.195330,0.841501
536,10.509804,-0.644771,1.195371,0.841424
537,10.529412,-0.644773,1.195451,0.841381
538,10.549020,-0.644727,1.195527,0.841333
539,10.568627,-0.644701,1.195559,0.841302
540,10.588235,-0.644740,1.195603,0.841266
541,10.607843,-0.644750,1.195638,0.841237
542,10.627451,-0.644846,1.195719,0.841236
543,10.647059,-0.644867,1.195763,0.841270
544,10.666667,-0.644925,1.195810,0.841304
545,10.686275,-0.644928,1.195838,0.841310
546,10.705882,-0.644967,1.195897,0.841346
547,10.725490,-0.644987,1.195947,0.841390
548,10.745098,-0.645023,1.195987,0.841426
549,10.764706,-0.645076,1.196029,0.841468
550,10.784314,-0.645147,1.196087,0.841511
551,10.803922,-0.645200,1.196125,0.841551
552,10.823529,-0.645183,1.196169,0.841536
553,10.843137,-0.645200,1.196189,0.841528
554,10.862745,-0.645211,1.196237,0.841553
555,10.882353,-0.645239,1.196282,0.841565
556,10.901961,-0.645232,1.196340,0.841601
557,10.921569,-0.645300,1.196362,0.841703
558,10.941176,-0.645269,1.196346,0.841829
559,10.960784,-0.645271,1.196400,0.841897
560,10.980392,-0.645391,1.196409,0.842063
561,11.000000,-0.645409,1.196412,0.842185
