A0,A1,A2,A5,A6,A7
62.18,35.63,0.00,21.13,30.87,28.85
62.97,37.44,0.00,22.07,32.03,29.86
63.62,35.70,0.00,21.20,31.02,28.92
63.05,37.36,0.00,22.07,32.17,29.93
63.91,35.78,0.00,21.28,31.16,29.07
63.26,37.51,0.00,22.14,32.24,30.08
64.13,35.99,0.00,21.35,31.23,29.14
63.33,37.80,0.00,22.21,32.39,30.15
64.63,37.00,0.00,21.85,31.95,29.86
64.85,36.21,0.00,21.57,31.38,29.50
63.77,37.94,0.00,22.36,32.53,30.37
64.78,36.21,0.00,21.57,31.45,29.43
64.13,38.16,0.00,22.43,32.60,30.37
65.07,36.50,0.00,21.57,31.59,29.57
64.42,38.37,0.00,22.43,32.75,30.65
65.35,36.64,0.00,21.57,31.74,29.72
64.13,36.71,0.00,21.64,31.74,29.72
64.78,38.52,0.00,22.65,32.96,30.73
65.50,36.71,0.00,21.85,31.88,29.79
64.92,38.59,0.00,22.79,33.11,30.73
66.00,36.86,0.00,21.85,32.03,29.79
65.35,38.73,0.00,22.79,33.25,30.80
66.15,37.08,0.00,21.93,32.10,29.93
65.50,38.88,0.00,22.79,33.32,30.94
66.80,38.09,0.00,22.43,33.04,30.73
66.87,37.36,0.00,22.07,32.46,30.22
65.64,39.02,0.00,22.86,33.61,31.23
66.73,37.22,0.00,22.07,32.39,30.29
66.00,39.10,0.00,23.01,33.61,31.30
67.09,37.36,0.00,22.14,32.53,30.29
66.36,39.31,0.00,23.08,33.76,31.38
67.37,37.65,0.00,22.21,32.60,30.29
66.15,37.72,0.00,22.21,32.75,30.29
66.87,39.60,0.00,23.30,34.05,31.45
67.59,37.72,0.00,22.36,32.89,30.44
66.87,39.60,0.00,23.30,34.12,31.59
67.74,37.72,0.00,22.50,32.96,30.51
67.09,39.60,0.00,23.37,34.26,31.66
68.02,37.80,0.00,22.58,33.04,30.65
67.45,39.74,0.00,23.51,34.33,31.66
68.67,38.95,0.00,23.15,33.90,31.38
68.82,37.87,0.00,22.79,33.32,30.87
67.74,39.96,0.00,23.59,34.62,31.88
68.75,38.23,0.00,22.79,33.47,30.94
67.88,40.18,0.00,23.66,34.69,32.03
68.89,38.37,0.00,22.86,33.47,31.09
68.17,40.18,0.00,23.80,34.84,32.10
69.11,38.45,0.00,22.94,33.61,31.09
68.10,38.37,0.00,23.01,33.76,31.09
68.67,40.39,0.00,23.95,35.06,32.17
69.47,38.52,0.00,23.01,33.83,31.09
68.82,40.39,0.00,23.95,35.13,32.24
69.83,38.66,0.00,23.08,33.97,31.30
68.96,40.61,0.00,24.02,35.20,32.39
69.90,38.81,0.00,23.15,33.97,31.52
69.18,40.61,0.00,24.16,35.27,32.46
70.48,39.82,0.00,23.80,34.84,32.31
70.77,39.02,0.00,23.44,34.19,31.66
69.54,40.83,0.00,24.31,35.49,32.67
70.69,39.24,0.00,23.37,34.33,31.74
69.83,41.19,0.00,24.31,35.56,32.75
70.84,39.31,0.00,23.37,34.48,31.88
70.12,41.26,0.00,24.31,35.78,32.89
70.98,39.46,0.00,23.37,34.48,32.03
69.83,39.46,0.00,23.59,34.48,32.03
70.55,41.48,0.00,24.52,35.78,33.04
71.41,39.53,0.00,23.66,34.62,32.17
70.62,41.33,0.00,24.60,35.92,33.04
71.56,39.82,0.00,23.66,34.69,32.03
70.77,41.62,0.00,24.67,36.07,33.18
71.92,39.82,0.00,23.80,34.91,32.24
70.98,41.76,0.00,24.67,36.14,33.32
73.29,41.19,0.00,24.67,36.07,33.47
71.70,39.89,0.00,23.87,34.84,32.53
71.20,41.84,0.00,24.74,36.14,33.54
72.28,39.96,0.00,24.09,35.06,32.67
71.41,41.91,0.00,24.88,36.35,33.54
72.93,41.26,0.00,24.60,36.14,33.40
73.00,40.25,0.00,24.38,35.42,32.89
71.34,40.39,0.00,23.95,35.42,32.82
71.27,40.47,0.00,24.09,35.49,32.82
71.99,42.49,0.00,25.10,36.79,33.90
72.79,40.47,0.00,24.31,35.49,32.96
71.78,42.41,0.00,25.10,36.93,33.97
