Format Version,1.1,Take Name,Take 2025-06-30 05.13.35 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-30 05.13.35.279 PM,Total Frames,401,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
1177,9.808333,-0.724769,1.411902,0.553707
1178,9.816667,-0.724746,1.411899,0.553703
1179,9.825000,-0.728361,1.413879,0.556632
1180,9.833333,-0.728391,1.413908,0.556644
1181,9.841667,-0.728422,1.413929,0.556660
1182,9.850000,-0.728416,1.413937,0.556662
1183,9.858333,-0.728429,1.413946,0.556660
1184,9.866667,-0.728437,1.413955,0.556672
1185,9.875000,-0.728422,1.413963,0.556668
1186,9.883333,-0.728408,1.413971,0.556666
1187,9.891667,-0.728378,1.413977,0.556656
1188,9.900000,-0.728371,1.413967,0.556654
1189,9.908333,-0.728343,1.413933,0.556640
1190,9.916667,-0.724677,1.411917,0.553687
1191,9.925000,-0.724735,1.411945,0.553706
1192,9.933333,-0.728310,1.413862,0.556616
1193,9.941667,-0.728299,1.413833,0.556597
1194,9.950000,-0.728285,1.413827,0.556593
1195,9.958333,-0.728286,1.413833,0.556601
1196,9.966667,-0.728311,1.413851,0.556603
1197,9.975000,-0.724766,1.411931,0.553693
1198,9.983333,-0.724714,1.411882,0.553669
1199,9.991667,-0.728355,1.413849,0.556603
1200,10.000000,-0.728375,1.413858,0.556609
